id,category,method,recall@5,recall@10,precision@5,precision@10,mrr,ndcg@5,ndcg@10
209,easy_single_labeled,KG_dense,25,25,33.33,33.33,50,24.63,24.63
7,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
80,easy_single_labeled,KG_dense,33.33,33.33,28.57,28.57,100,76.54,76.54
205,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
118,easy_single_labeled,KG_dense,37.5,37.5,37.5,37.5,100,69.52,69.52
185,easy_single_labeled,KG_dense,37.5,37.5,37.5,37.5,62.5,40.24,40.24
201,easy_single_labeled,KG_dense,25,25,25,25,100,39.04,39.04
199,easy_single_labeled,KG_dense,66.67,66.67,66.67,66.67,100,76.54,76.54
10,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
31,easy_single_labeled,KG_dense,66.67,66.67,50,50,100,67.14,67.14
252,easy_single_labeled,KG_dense,25,25,25,25,25,16.81,16.81
220,easy_single_labeled,KG_dense,25,25,25,25,50,24.63,24.63
228,easy_single_labeled,KG_dense,50,50,50,50,100,100,100
223,easy_single_labeled,KG_dense,16.67,16.67,12.5,12.5,16.67,11.73,11.73
137,easy_single_labeled,KG_dense,37.5,37.5,37.5,37.5,100,51.35,51.35
69,easy_single_labeled,KG_dense,50,50,50,50,100,63.67,63.67
198,easy_single_labeled,KG_dense,50,50,37.5,37.5,33.33,33.57,33.57
16,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
97,easy_single_labeled,KG_dense,25,25,25,25,25,16.81,16.81
25,easy_single_labeled,KG_dense,25,25,25,25,100,39.04,39.04
233,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
20,easy_single_labeled,KG_dense,25,25,25,25,100,63.67,63.67
121,easy_single_labeled,KG_dense,100,100,75,75,100,90.6,90.6
153,easy_single_labeled,KG_dense,50,50,50,50,100,63.67,63.67
34,easy_single_labeled,KG_dense,66.67,66.67,57.14,57.14,100,70.39,70.39
125,easy_single_labeled,KG_dense,25,25,25,25,33.33,36.33,36.33
251,easy_single_labeled,KG_dense,50,50,50,50,75,50,50
207,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
11,easy_single_labeled,KG_dense,75,75,75,75,100,83.19,83.19
181,easy_single_labeled,KG_dense,25,25,25,25,66.67,32.53,32.53
174,easy_single_labeled,KG_dense,33.33,33.33,33.33,33.33,100,46.93,46.93
98,easy_single_labeled,KG_dense,12.5,12.5,12.5,12.5,25,12.32,12.32
